epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1014.25,0.32244,0.84373,1.01516,0.70876,0.69399,0.77608,0.71409,0.3564,0.85088,0.80153,0.000742625,0.000742625,0.000742625
43,1038.17,0.31635,0.80046,1.00772,0.71938,0.73384,0.80599,0.74706,0.35164,0.79191,0.77853,0.00073025,0.00073025,0.00073025
44,1062.01,0.31197,0.83567,1.00892,0.69584,0.81369,0.82215,0.75735,0.35246,0.79422,0.78635,0.000717875,0.000717875,0.000717875
45,1086,0.31435,0.82858,1.00164,0.72092,0.74144,0.80689,0.73775,0.37254,0.78793,0.78576,0.0007055,0.0007055,0.0007055
46,1110.17,0.31895,0.82025,1.0015,0.6725,0.78858,0.80371,0.74021,0.3734,0.79147,0.8308,0.000693125,0.000693125,0.000693125
47,1134.16,0.29424,0.8021,0.99439,0.68435,0.74525,0.78825,0.73621,0.37607,0.87105,0.81571,0.00068075,0.00068075,0.00068075
48,1158.13,0.32023,0.80188,1.00622,0.56299,0.8403,0.77637,0.71965,0.35185,0.84914,0.77996,0.000668375,0.000668375,0.000668375
49,1182.08,0.30691,0.83686,1.0006,0.70312,0.80608,0.83289,0.768,0.34294,0.77474,0.76247,0.000656,0.000656,0.000656
50,1206,0.29009,0.80127,0.98962,0.69067,0.85932,0.85658,0.79855,0.32457,0.69699,0.75346,0.000643625,0.000643625,0.000643625
51,1230.12,0.2931,0.80858,0.99531,0.7628,0.77947,0.85455,0.7929,0.34204,0.71757,0.75915,0.00063125,0.00063125,0.00063125
52,1253.95,0.30138,0.81369,1.00028,0.68864,0.80989,0.82994,0.77273,0.33656,0.80026,0.7751,0.000618875,0.000618875,0.000618875
53,1277.8,0.27684,0.7889,0.98201,0.73926,0.74525,0.83129,0.76619,0.34299,0.78833,0.77291,0.0006065,0.0006065,0.0006065
54,1301.7,0.29064,0.76276,0.99152,0.72591,0.80608,0.83677,0.76826,0.34433,0.71878,0.77182,0.000594125,0.000594125,0.000594125
55,1325.61,0.28956,0.80588,0.98457,0.64431,0.79468,0.78883,0.72038,0.34229,0.83695,0.77596,0.00058175,0.00058175,0.00058175
56,1349.57,0.27715,0.76571,0.97395,0.7095,0.79863,0.81238,0.73191,0.32954,0.79903,0.73326,0.000569375,0.000569375,0.000569375
57,1373.6,0.29248,0.7654,0.98905,0.67491,0.79468,0.80195,0.75244,0.33414,0.79056,0.74245,0.000557,0.000557,0.000557
58,1397.52,0.28959,0.77294,0.99306,0.69513,0.78894,0.82603,0.76961,0.33239,0.7405,0.73336,0.000544625,0.000544625,0.000544625
59,1421.43,0.28434,0.77026,0.99308,0.72572,0.79478,0.83979,0.78616,0.3073,0.74696,0.70432,0.00053225,0.00053225,0.00053225
60,1445.42,0.27145,0.77774,0.9851,0.70928,0.8327,0.82687,0.77248,0.28082,0.70775,0.69676,0.000519875,0.000519875,0.000519875
61,1469.18,0.275,0.77566,0.97044,0.70954,0.8365,0.85802,0.79586,0.29794,0.6776,0.71678,0.0005075,0.0005075,0.0005075
62,1493.14,0.28555,0.7948,0.98927,0.76606,0.73764,0.83943,0.7818,0.2949,0.76958,0.70797,0.000495125,0.000495125,0.000495125
63,1517.08,0.27804,0.76132,0.9801,0.74521,0.74905,0.81988,0.76211,0.33296,0.7453,0.75032,0.00048275,0.00048275,0.00048275
64,1541.16,0.27455,0.75411,0.981,0.69291,0.77567,0.81555,0.75615,0.30347,0.73998,0.70752,0.000470375,0.000470375,0.000470375
65,1565.07,0.27567,0.76474,0.97839,0.71303,0.77947,0.82116,0.7629,0.34896,0.80488,0.74698,0.000458,0.000458,0.000458
66,1589.04,0.27929,0.78517,0.98533,0.67579,0.81749,0.8272,0.76762,0.3175,0.77825,0.75319,0.000445625,0.000445625,0.000445625
67,1613,0.26425,0.75812,0.96546,0.76896,0.73764,0.83606,0.7707,0.33667,0.752,0.76436,0.00043325,0.00043325,0.00043325
68,1637.06,0.25566,0.73476,0.96875,0.772,0.80989,0.85509,0.80467,0.29942,0.69524,0.712,0.000420875,0.000420875,0.000420875
69,1661.03,0.25424,0.75,0.96314,0.76239,0.77567,0.85447,0.78839,0.3234,0.76719,0.76814,0.0004085,0.0004085,0.0004085
70,1685.18,0.25545,0.70774,0.96763,0.73302,0.78327,0.82799,0.76915,0.29618,0.77557,0.70455,0.000396125,0.000396125,0.000396125
71,1709.19,0.25701,0.71757,0.97618,0.77753,0.78406,0.84315,0.79232,0.30195,0.7228,0.74411,0.00038375,0.00038375,0.00038375
72,1733.26,0.24442,0.73157,0.96566,0.77867,0.78925,0.85429,0.79659,0.31623,0.69479,0.73373,0.000371375,0.000371375,0.000371375
73,1757.29,0.2414,0.71366,0.96128,0.74403,0.77567,0.83899,0.78573,0.32407,0.74152,0.7469,0.000359,0.000359,0.000359
74,1781.29,0.24761,0.72186,0.9665,0.72777,0.77252,0.83688,0.78642,0.34319,0.75888,0.75578,0.000346625,0.000346625,0.000346625
75,1805.33,0.25068,0.74021,0.9629,0.8053,0.75665,0.86481,0.81379,0.27607,0.68179,0.67762,0.00033425,0.00033425,0.00033425
76,1829.21,0.24363,0.72279,0.95732,0.78689,0.74411,0.84142,0.78619,0.30737,0.74407,0.71734,0.000321875,0.000321875,0.000321875
77,1853.11,0.25235,0.70227,0.97,0.70387,0.81749,0.83915,0.7824,0.31625,0.70649,0.73355,0.0003095,0.0003095,0.0003095
78,1877.13,0.24218,0.72092,0.96229,0.77045,0.77847,0.85282,0.80069,0.29673,0.69661,0.72351,0.000297125,0.000297125,0.000297125
79,1901.24,0.24396,0.70681,0.97342,0.80806,0.76426,0.85598,0.80506,0.29447,0.68592,0.70964,0.00028475,0.00028475,0.00028475
80,1925.03,0.23178,0.70121,0.96065,0.74562,0.8251,0.85044,0.79947,0.26976,0.68791,0.66756,0.000272375,0.000272375,0.000272375
81,1948.9,0.24602,0.71546,0.96614,0.78353,0.77186,0.85959,0.80783,0.29341,0.67639,0.70778,0.00026,0.00026,0.00026
82,1973,0.24386,0.70066,0.968,0.76747,0.74525,0.83326,0.78316,0.31932,0.72598,0.74181,0.000247625,0.000247625,0.000247625
83,1997.19,0.23561,0.69064,0.95667,0.79596,0.75648,0.85421,0.807,0.27405,0.72189,0.67951,0.00023525,0.00023525,0.00023525
84,2021.35,0.2411,0.6988,0.96331,0.80093,0.77186,0.87101,0.81815,0.26798,0.68156,0.66825,0.000222875,0.000222875,0.000222875
85,2045.32,0.23816,0.68947,0.9534,0.78666,0.73004,0.83536,0.79363,0.27679,0.69913,0.69224,0.0002105,0.0002105,0.0002105
86,2069.37,0.23338,0.68947,0.95502,0.78459,0.81369,0.87444,0.83017,0.28903,0.66308,0.70083,0.000198125,0.000198125,0.000198125
87,2093.36,0.22438,0.66507,0.96067,0.81427,0.75285,0.87492,0.83319,0.2632,0.67697,0.66798,0.00018575,0.00018575,0.00018575
88,2117.25,0.22863,0.68131,0.9551,0.78419,0.80608,0.87159,0.81997,0.28763,0.68675,0.71172,0.000173375,0.000173375,0.000173375
89,2141.45,0.22362,0.66144,0.95616,0.83946,0.75554,0.88118,0.82702,0.27563,0.65013,0.69024,0.000161,0.000161,0.000161
90,2165.78,0.2368,0.67351,0.96474,0.82844,0.76806,0.87618,0.83214,0.25614,0.67616,0.65977,0.000148625,0.000148625,0.000148625
91,2215.01,0.20702,0.59837,0.95124,0.80148,0.78707,0.87431,0.82829,0.2773,0.65485,0.67703,0.00013625,0.00013625,0.00013625
92,2238.55,0.20317,0.56299,0.94571,0.83169,0.74905,0.8779,0.82683,0.29144,0.66347,0.69726,0.000123875,0.000123875,0.000123875
93,2262.36,0.20234,0.54622,0.95647,0.73042,0.79848,0.86402,0.80878,0.27027,0.70736,0.67915,0.0001115,0.0001115,0.0001115
94,2286.22,0.19484,0.53108,0.94058,0.82875,0.77283,0.8871,0.84846,0.24717,0.63473,0.6501,9.9125e-05,9.9125e-05,9.9125e-05
95,2309.98,0.19131,0.51309,0.93602,0.82036,0.77567,0.88644,0.8448,0.25432,0.64989,0.65416,8.675e-05,8.675e-05,8.675e-05
96,2334.5,0.18569,0.4896,0.93374,0.75192,0.82129,0.8793,0.83692,0.26194,0.66952,0.67416,7.4375e-05,7.4375e-05,7.4375e-05
97,2358.55,0.18685,0.49643,0.94479,0.78352,0.80989,0.88498,0.8392,0.24822,0.65049,0.65557,6.2e-05,6.2e-05,6.2e-05
98,2382.49,0.18792,0.48216,0.9452,0.81576,0.78327,0.88592,0.84052,0.25216,0.63511,0.65202,4.9625e-05,4.9625e-05,4.9625e-05
99,2406.29,0.1828,0.49814,0.94566,0.76146,0.80989,0.87956,0.83775,0.25811,0.65727,0.65895,3.725e-05,3.725e-05,3.725e-05
100,2430.06,0.18534,0.4959,0.93719,0.83444,0.76654,0.88771,0.84737,0.2545,0.63832,0.65509,2.4875e-05,2.4875e-05,2.4875e-05
